年,週,就診類別,年齡別,縣市,類流感健保就診人次,健保就診總人次
2014,2,門診,五到十四,台東縣,79,3366
2014,2,門診,五到十四,台南市,2262,50365
2014,2,門診,五到十四,宜蘭縣,586,10287
2014,2,門診,五到十四,花蓮縣,205,6858
2014,2,門診,五到十四,金門縣,13,2190
2014,2,門診,五到十四,南投縣,446,13355
2014,2,門診,五到十四,屏東縣,743,19215
2014,2,門診,五到十四,苗栗縣,380,11613
2014,2,門診,五到十四,桃園市,1795,56261
2014,2,門診,五到十四,高雄市,2226,68875
2014,2,門診,五到十四,基隆市,315,9155
2014,2,門診,五到十四,連江縣,3,92
2014,2,門診,五到十四,雲林縣,524,17887
2014,2,門診,五到十四,新北市,2946,103091
2014,2,門診,五到十四,新竹市,589,14695
2014,2,門診,五到十四,新竹縣,436,13537
2014,2,門診,五到十四,嘉義市,158,11092
2014,2,門診,五到十四,嘉義縣,192,7774
2014,2,門診,五到十四,彰化縣,1278,35412
2014,2,門診,五到十四,澎湖縣,28,2271
2014,2,門診,六十五以上,台中市,1452,131591
2014,2,門診,六十五以上,台北市,1530,192631
2014,2,門診,六十五以上,台東縣,78,13018
2014,2,門診,六十五以上,台南市,1256,111561
2014,2,門診,六十五以上,宜蘭縣,411,28166
2014,2,門診,六十五以上,花蓮縣,169,21719
2014,2,門診,六十五以上,金門縣,12,3862
2014,2,門診,六十五以上,南投縣,292,31732
2014,2,門診,六十五以上,屏東縣,529,53731
2014,2,門診,六十五以上,苗栗縣,261,28940
2014,2,門診,六十五以上,桃園市,902,87095
2014,2,門診,六十五以上,高雄市,1366,162640
2014,2,門診,六十五以上,基隆市,185,23848
2014,2,門診,六十五以上,連江縣,1,241
2014,2,門診,六十五以上,雲林縣,532,45044
2014,2,門診,六十五以上,新北市,1294,146743
2014,2,門診,六十五以上,新竹市,232,21792
2014,2,門診,六十五以上,新竹縣,143,16920
2014,2,門診,六十五以上,嘉義市,329,28372
2014,2,門診,六十五以上,嘉義縣,447,28978
2014,2,門診,六十五以上,彰化縣,832,68382
2014,2,門診,六十五以上,澎湖縣,15,8964
2014,3,住院,零到四,台中市,43,189
2014,3,住院,零到四,台北市,51,265
2014,3,住院,零到四,台東縣,9,19
2014,3,住院,零到四,台南市,8,35
2014,3,住院,零到四,宜蘭縣,26,94
2014,3,住院,零到四,花蓮縣,11,34
2014,3,住院,零到四,金門縣,3,5
2014,3,住院,零到四,南投縣,13,32
2014,3,住院,零到四,屏東縣,13,25
2014,3,住院,零到四,苗栗縣,1,2
2014,3,住院,零到四,桃園市,28,172
2014,3,住院,零到四,高雄市,39,179
2014,3,住院,零到四,基隆市,16,43
2014,3,住院,零到四,雲林縣,3,25
2014,3,住院,零到四,新北市,41,134
2014,3,住院,零到四,新竹市,14,64
2014,3,住院,零到四,新竹縣,2,18
2014,3,住院,零到四,嘉義市,2,27
2014,3,住院,零到四,嘉義縣,6,47
2014,3,住院,零到四,彰化縣,49,154
2014,3,住院,十五到二十四,台中市,16,259
2014,3,住院,十五到二十四,台北市,18,374
2014,3,住院,十五到二十四,台東縣,0,7
2014,3,住院,十五到二十四,台南市,1,80
2014,3,住院,十五到二十四,宜蘭縣,11,68
2014,3,住院,十五到二十四,花蓮縣,3,34
2014,3,住院,十五到二十四,金門縣,0,3
2014,3,住院,十五到二十四,南投縣,0,14
2014,3,住院,十五到二十四,屏東縣,3,44
2014,3,住院,十五到二十四,苗栗縣,0,21
2014,3,住院,十五到二十四,桃園市,4,162
2014,3,住院,十五到二十四,高雄市,9,241
2014,3,住院,十五到二十四,基隆市,2,26
2014,3,住院,十五到二十四,雲林縣,0,25
2014,3,住院,十五到二十四,新北市,10,164
2014,3,住院,十五到二十四,新竹市,5,48
2014,3,住院,十五到二十四,新竹縣,1,30
2014,3,住院,十五到二十四,嘉義市,1,30
2014,3,住院,十五到二十四,嘉義縣,1,33
2014,3,住院,十五到二十四,彰化縣,12,99
2014,3,住院,十五到二十四,澎湖縣,0,1
2014,3,住院,二十五到六十四,台中市,71,2399
2014,3,住院,二十五到六十四,台北市,149,4930
2014,3,住院,二十五到六十四,台東縣,9,176
2014,3,住院,二十五到六十四,台南市,27,1207
2014,3,住院,二十五到六十四,宜蘭縣,46,559
2014,3,住院,二十五到六十四,花蓮縣,10,449
2014,3,住院,二十五到六十四,金門縣,1,26
2014,3,住院,二十五到六十四,南投縣,6,181
2014,3,住院,二十五到六十四,屏東縣,10,336
2014,3,住院,二十五到六十四,苗栗縣,6,191
2014,3,住院,二十五到六十四,桃園市,58,1946
2014,3,住院,二十五到六十四,高雄市,63,2741
2014,3,住院,二十五到六十四,基隆市,21,300
2014,3,住院,二十五到六十四,雲林縣,19,368
2014,3,住院,二十五到六十四,新北市,88,2140
2014,3,住院,二十五到六十四,新竹市,18,562
2014,3,住院,二十五到六十四,新竹縣,3,174
2014,3,住院,二十五到六十四,嘉義市,2,333
2014,3,住院,二十五到六十四,嘉義縣,11,486
2014,3,住院,二十五到六十四,彰化縣,63,1100
2014,3,住院,二十五到六十四,澎湖縣,0,15
2014,3,住院,五到十四,台中市,48,213
2014,3,住院,五到十四,台北市,71,343
2014,3,住院,五到十四,台東縣,6,22
2014,3,住院,五到十四,台南市,2,37
2014,3,住院,五到十四,宜蘭縣,42,91
2014,3,住院,五到十四,花蓮縣,2,20
2014,3,住院,五到十四,金門縣,0,4
2014,3,住院,五到十四,南投縣,12,24
2014,3,住院,五到十四,屏東縣,9,30
2014,3,住院,五到十四,苗栗縣,1,4
2014,3,住院,五到十四,桃園市,40,207
2014,3,住院,五到十四,高雄市,37,212
2014,3,住院,五到十四,基隆市,26,49
2014,3,住院,五到十四,雲林縣,1,21
2014,3,住院,五到十四,新北市,51,116
2014,3,住院,五到十四,新竹市,18,51
2014,3,住院,五到十四,新竹縣,4,14
2014,3,住院,五到十四,嘉義市,9,31
2014,3,住院,五到十四,嘉義縣,7,42
2014,3,住院,五到十四,彰化縣,36,115
2014,3,住院,五到十四,澎湖縣,0,1
2014,3,住院,六十五以上,台中市,157,1363
2014,3,住院,六十五以上,台北市,273,3124
2014,3,住院,六十五以上,台東縣,13,144
2014,3,住院,六十五以上,台南市,52,685
2014,3,住院,六十五以上,宜蘭縣,41,423
2014,3,住院,六十五以上,花蓮縣,28,309
2014,3,住院,六十五以上,金門縣,2,18
2014,3,住院,六十五以上,南投縣,28,181
2014,3,住院,六十五以上,屏東縣,14,204
2014,3,住院,六十五以上,苗栗縣,9,193
2014,3,住院,六十五以上,桃園市,152,1165
2014,3,住院,六十五以上,高雄市,68,1496
2014,3,住院,六十五以上,基隆市,35,279
2014,3,住院,六十五以上,連江縣,2,4
2014,3,住院,六十五以上,雲林縣,58,357
2014,3,住院,六十五以上,新北市,192,1452
2014,3,住院,六十五以上,新竹市,61,348
2014,3,住院,六十五以上,新竹縣,28,104
2014,3,住院,六十五以上,嘉義市,6,123
2014,3,住院,六十五以上,嘉義縣,18,461
2014,3,住院,六十五以上,彰化縣,138,912
2014,3,住院,六十五以上,澎湖縣,0,4
2014,3,門診,零到四,台中市,1828,43673
2014,3,門診,零到四,台北市,840,26798
2014,3,門診,零到四,台東縣,75,1793
2014,3,門診,零到四,台南市,1217,25704
2014,3,門診,零到四,宜蘭縣,192,5305
2014,3,門診,零到四,花蓮縣,167,3755
2014,3,門診,零到四,金門縣,16,1111
2014,3,門診,零到四,南投縣,296,7004
2014,3,門診,零到四,屏東縣,354,9653
2014,3,門診,零到四,苗栗縣,186,6328
2014,3,門診,零到四,桃園市,992,29994
2014,3,門診,零到四,高雄市,1019,34786
2014,3,門診,零到四,基隆市,80,4079
2014,3,門診,零到四,連江縣,0,42
2014,3,門診,零到四,雲林縣,262,8926
2014,3,門診,零到四,新北市,1387,55850
2014,3,門診,零到四,新竹市,268,8983
2014,3,門診,零到四,新竹縣,272,7510
2014,3,門診,零到四,嘉義市,49,5948
2014,3,門診,零到四,嘉義縣,74,3136
2014,3,門診,零到四,彰化縣,595,18360
2014,3,門診,零到四,澎湖縣,7,913
2014,3,門診,十五到二十四,台中市,1702,57959
2014,3,門診,十五到二十四,台北市,831,44330
2014,3,門診,十五到二十四,台東縣,21,2370
2014,3,門診,十五到二十四,台南市,802,34429
2014,3,門診,十五到二十四,宜蘭縣,240,6601
2014,3,門診,十五到二十四,花蓮縣,65,4846
2014,3,門診,十五到二十四,金門縣,12,1541
2014,3,門診,十五到二十四,南投縣,226,7534
2014,3,門診,十五到二十四,屏東縣,384,12412
2014,3,門診,十五到二十四,苗栗縣,132,7626
2014,3,門診,十五到二十四,桃園市,950,36796
2014,3,門診,十五到二十四,高雄市,921,49427
2014,3,門診,十五到二十四,基隆市,155,6767
2014,3,門診,十五到二十四,連江縣,8,199
2014,3,門診,十五到二十四,雲林縣,222,10586
2014,3,門診,十五到二十四,新北市,1466,70765
2014,3,門診,十五到二十四,新竹市,215,8726
2014,3,門診,十五到二十四,新竹縣,239,7171
2014,3,門診,十五到二十四,嘉義市,130,8074
2014,3,門診,十五到二十四,嘉義縣,128,5320
2014,3,門診,十五到二十四,彰化縣,724,21874
2014,3,門診,十五到二十四,澎湖縣,12,2012
2014,3,門診,二十五到六十四,台中市,6748,365469
2014,3,門診,二十五到六十四,台北市,3723,379069
2014,3,門診,二十五到六十四,台東縣,84,20043
2014,3,門診,二十五到六十四,台南市,3987,239286
2014,3,門診,二十五到六十四,宜蘭縣,956,45311
2014,3,門診,二十五到六十四,花蓮縣,413,39012
2014,3,門診,二十五到六十四,金門縣,39,8559
2014,3,門診,二十五到六十四,南投縣,539,52824
2014,3,門診,二十五到六十四,屏東縣,1518,86411
2014,3,門診,二十五到六十四,苗栗縣,522,50667
2014,3,門診,二十五到六十四,桃園市,3654,236535
2014,3,門診,二十五到六十四,高雄市,4276,363041
